sample	gene	alteration	tooltip
G-SAM-087	TERT	Mutation	G-SAM-087 TERT Mutation
G-SAM-087	TSC2	Mutation	G-SAM-087 TSC2 Mutation
G-SAM-087	TSC2	Gained / increased / female	G-SAM-087 TSC2 Gained / increased / female secondary
G-SAM-087	EGFR	Mutation	G-SAM-087 EGFR Mutation
G-SAM-088	MTOR	Gained / increased / female	G-SAM-088 MTOR Gained / increased / female
G-SAM-089	TP53BP1	Mutation	G-SAM-089 TP53BP1 Mutation
G-SAM-090	TERT	Mutation	G-SAM-090 TERT Mutation
G-SAM-090	PDGFRA	Mutation	G-SAM-090 PDGFRA Mutation
G-SAM-090	PIK3CA	Mutation	G-SAM-090 PIK3CA Mutation
G-SAM-090	PIK3R1	Mutation	G-SAM-090 PIK3R1 Mutation
G-SAM-090	EGFR	Mutation	G-SAM-090 EGFR Mutation
G-SAM-091	TERT	Mutation	G-SAM-091 TERT Mutation
G-SAM-091	PIK3CA	Mutation	G-SAM-091 PIK3CA Mutation
G-SAM-091	EGFR	Lost / decreased / male	G-SAM-091 EGFR Lost / decreased / male
G-SAM-091	ATM	Gained / increased / female	G-SAM-091 ATM Gained / increased / female
G-SAM-092	TSC2	Mutation	G-SAM-092 TSC2 Mutation
G-SAM-092	TP53	Lost / decreased / male	G-SAM-092 TP53 Lost / decreased / male
G-SAM-092	EGFR	Mutation	G-SAM-092 EGFR Mutation
G-SAM-092	EGFR	Gained / increased / female	G-SAM-092 EGFR Gained / increased / female secondary
G-SAM-093	TERT	Mutation	G-SAM-093 TERT Mutation
G-SAM-093	NF1	Mutation	G-SAM-093 NF1 Mutation
G-SAM-093	PTEN	Mutation	G-SAM-093 PTEN Mutation
G-SAM-093	KMT2C	Mutation	G-SAM-093 KMT2C Mutation
G-SAM-093	BRCA1	Lost / decreased / male	G-SAM-093 BRCA1 Lost / decreased / male
G-SAM-093	RB1	Lost / decreased / male	G-SAM-093 RB1 Lost / decreased / male
G-SAM-094	TERT	Mutation	G-SAM-094 TERT Mutation
G-SAM-094	EGFR	Mutation	G-SAM-094 EGFR Mutation
G-SAM-094	EGFR	Gained / increased / female	G-SAM-094 EGFR Gained / increased / female secondary
G-SAM-095	KMT2C	Gained / increased / female	G-SAM-095 KMT2C Gained / increased / female
G-SAM-096	TERT	Mutation	G-SAM-096 TERT Mutation
G-SAM-096	PDGFRA	Mutation	G-SAM-096 PDGFRA Mutation
G-SAM-096	EGFR	Mutation	G-SAM-096 EGFR Mutation
G-SAM-096	NF1	Mutation	G-SAM-096 NF1 Mutation
G-SAM-096	PTEN	Mutation	G-SAM-096 PTEN Mutation
G-SAM-096	MSH2	Mutation	G-SAM-096 MSH2 Mutation
G-SAM-097	TERT	Mutation	G-SAM-097 TERT Mutation
G-SAM-097	MTOR	Mutation	G-SAM-097 MTOR Mutation
G-SAM-097	MGMT meth	Mutation	G-SAM-097 MGMT meth Mutation
G-SAM-098	TERT	Mutation	G-SAM-098 TERT Mutation
G-SAM-098	PIK3R1	Mutation	G-SAM-098 PIK3R1 Mutation
G-SAM-098	TP53BP1	Mutation	G-SAM-098 TP53BP1 Mutation
G-SAM-098	PTEN	Mutation	G-SAM-098 PTEN Mutation
G-SAM-098	MTOR	Mutation	G-SAM-098 MTOR Mutation
G-SAM-099	TERT	Mutation	G-SAM-099 TERT Mutation
G-SAM-099	PTEN	Lost / decreased / male	G-SAM-099 PTEN Lost / decreased / male
G-SAM-099	SETD2	Mutation	G-SAM-099 SETD2 Mutation
G-SAM-099	JAK2	Mutation	G-SAM-099 JAK2 Mutation
G-SAM-100	PDGFRA	Mutation	G-SAM-100 PDGFRA Mutation
G-SAM-100	PDGFRA	Gained / increased / female	G-SAM-100 PDGFRA Gained / increased / female secondary
G-SAM-100	PIK3R1	Mutation	G-SAM-100 PIK3R1 Mutation
G-SAM-100	EGFR	Gained / increased / female	G-SAM-100 EGFR Gained / increased / female
G-SAM-100	EGFR	Mutation	G-SAM-100 EGFR Mutation secondary
G-SAM-100	BRCA2	Mutation	G-SAM-100 BRCA2 Mutation
G-SAM-100	MSH2	Mutation	G-SAM-100 MSH2 Mutation
G-SAM-100	AXIN2	Mutation	G-SAM-100 AXIN2 Mutation
G-SAM-101	TERT	Gained / increased / female	G-SAM-101 TERT Gained / increased / female
G-SAM-101	PIK3R1	Mutation	G-SAM-101 PIK3R1 Mutation
G-SAM-101	NF1	Mutation	G-SAM-101 NF1 Mutation
G-SAM-101	PTEN	Mutation	G-SAM-101 PTEN Mutation
G-SAM-101	ARID2	Mutation	G-SAM-101 ARID2 Mutation
G-SAM-102	TERT	Mutation	G-SAM-102 TERT Mutation
G-SAM-102	TERT	Gained / increased / female	G-SAM-102 TERT Gained / increased / female secondary
G-SAM-102	PIK3R1	Mutation	G-SAM-102 PIK3R1 Mutation
G-SAM-102	EGFR	Mutation	G-SAM-102 EGFR Mutation
G-SAM-102	HM	Lost / decreased / male	G-SAM-102 HM Lost / decreased / male
G-SAM-103	PIK3R1	Mutation	G-SAM-103 PIK3R1 Mutation
G-SAM-103	BRCA2	Mutation	G-SAM-103 BRCA2 Mutation
G-SAM-104	TP53	Mutation	G-SAM-104 TP53 Mutation
G-SAM-104	EGFR	Mutation	G-SAM-104 EGFR Mutation
G-SAM-104	PTEN	Lost / decreased / male	G-SAM-104 PTEN Lost / decreased / male
G-SAM-104	MTOR	Mutation	G-SAM-104 MTOR Mutation
G-SAM-104	HM	Mutation	G-SAM-104 HM Mutation
G-SAM-104	MGMT meth	Mutation	G-SAM-104 MGMT meth Mutation
G-SAM-105	TERT	Mutation	G-SAM-105 TERT Mutation
G-SAM-105	TSC2	Mutation	G-SAM-105 TSC2 Mutation
G-SAM-105	PTEN	Mutation	G-SAM-105 PTEN Mutation
G-SAM-106	TERT	Gained / increased / female	G-SAM-106 TERT Gained / increased / female
G-SAM-106	TERT	Mutation	G-SAM-106 TERT Mutation secondary
G-SAM-106	PDGFRA	Mutation	G-SAM-106 PDGFRA Mutation
G-SAM-106	PDGFRA	Gained / increased / female	G-SAM-106 PDGFRA Gained / increased / female secondary
G-SAM-106	PTEN	Gained / increased / female	G-SAM-106 PTEN Gained / increased / female
G-SAM-106	MGMT meth	Mutation	G-SAM-106 MGMT meth Mutation
G-SAM-107	PDGFRA	Gained / increased / female	G-SAM-107 PDGFRA Gained / increased / female
G-SAM-107	PDGFRA	Mutation	G-SAM-107 PDGFRA Mutation secondary
G-SAM-107	TP53	Gained / increased / female	G-SAM-107 TP53 Gained / increased / female
G-SAM-107	TP53BP1	Gained / increased / female	G-SAM-107 TP53BP1 Gained / increased / female
G-SAM-108	TP53	Mutation	G-SAM-108 TP53 Mutation
G-SAM-108	MTOR	Mutation	G-SAM-108 MTOR Mutation
G-SAM-108	ATM	Gained / increased / female	G-SAM-108 ATM Gained / increased / female
G-SAM-108	MGMT meth	Mutation	G-SAM-108 MGMT meth Mutation
G-SAM-109	TERT	Lost / decreased / male	G-SAM-109 TERT Lost / decreased / male
G-SAM-110	TERT	Mutation	G-SAM-110 TERT Mutation
G-SAM-110	PDGFRA	Mutation	G-SAM-110 PDGFRA Mutation
G-SAM-111	TERT	Mutation	G-SAM-111 TERT Mutation
G-SAM-111	EGFR	Mutation	G-SAM-111 EGFR Mutation
G-SAM-111	NF1	Mutation	G-SAM-111 NF1 Mutation
G-SAM-111	KMT2C	Lost / decreased / male	G-SAM-111 KMT2C Lost / decreased / male
G-SAM-112	TERT	Mutation	G-SAM-112 TERT Mutation
G-SAM-112	PDGFRA	Mutation	G-SAM-112 PDGFRA Mutation
G-SAM-113	TERT	Mutation	G-SAM-113 TERT Mutation
G-SAM-113	PDGFRA	Mutation	G-SAM-113 PDGFRA Mutation
G-SAM-113	SETD2	Mutation	G-SAM-113 SETD2 Mutation
G-SAM-113	RB1	Mutation	G-SAM-113 RB1 Mutation
G-SAM-114	TERT	Mutation	G-SAM-114 TERT Mutation
G-SAM-114	TERT	Gained / increased / female	G-SAM-114 TERT Gained / increased / female secondary
G-SAM-114	PIK3R1	Mutation	G-SAM-114 PIK3R1 Mutation
G-SAM-114	KMT2C	Mutation	G-SAM-114 KMT2C Mutation
G-SAM-114	MSH2	Gained / increased / female	G-SAM-114 MSH2 Gained / increased / female
G-SAM-114	MGMT meth	Mutation	G-SAM-114 MGMT meth Mutation
G-SAM-114	MGMT meth	Gained / increased / female	G-SAM-114 MGMT meth Gained / increased / female secondary
G-SAM-115	PDGFRA	Gained / increased / female	G-SAM-115 PDGFRA Gained / increased / female
G-SAM-115	TP53	Mutation	G-SAM-115 TP53 Mutation
G-SAM-115	EGFR	Mutation	G-SAM-115 EGFR Mutation
G-SAM-115	EGFR	Gained / increased / female	G-SAM-115 EGFR Gained / increased / female secondary
G-SAM-115	ATM	Mutation	G-SAM-115 ATM Mutation
G-SAM-115	BRCA2	Mutation	G-SAM-115 BRCA2 Mutation
G-SAM-115	BRCA2	Gained / increased / female	G-SAM-115 BRCA2 Gained / increased / female secondary
G-SAM-115	RB1	Mutation	G-SAM-115 RB1 Mutation
G-SAM-116	TP53	Lost / decreased / male	G-SAM-116 TP53 Lost / decreased / male
G-SAM-116	ERBB3	Mutation	G-SAM-116 ERBB3 Mutation
G-SAM-116	NF1	Mutation	G-SAM-116 NF1 Mutation
G-SAM-116	NF1	Gained / increased / female	G-SAM-116 NF1 Gained / increased / female secondary
G-SAM-116	KMT2C	Gained / increased / female	G-SAM-116 KMT2C Gained / increased / female
G-SAM-117	EGFR	Mutation	G-SAM-117 EGFR Mutation
G-SAM-118	TERT	Gained / increased / female	G-SAM-118 TERT Gained / increased / female
G-SAM-118	KMT2C	Lost / decreased / male	G-SAM-118 KMT2C Lost / decreased / male
G-SAM-118	MTOR	Mutation	G-SAM-118 MTOR Mutation
G-SAM-119	PIK3CA	Mutation	G-SAM-119 PIK3CA Mutation
G-SAM-119	NF1	Mutation	G-SAM-119 NF1 Mutation
G-SAM-119	AXIN2	Mutation	G-SAM-119 AXIN2 Mutation
G-SAM-120	TERT	Mutation	G-SAM-120 TERT Mutation
G-SAM-120	PDGFRA	Lost / decreased / male	G-SAM-120 PDGFRA Lost / decreased / male
G-SAM-120	EGFR	Mutation	G-SAM-120 EGFR Mutation
G-SAM-121	TSC2	Mutation	G-SAM-121 TSC2 Mutation
G-SAM-121	MGMT meth	Mutation	G-SAM-121 MGMT meth Mutation
G-SAM-123	PIK3CA	Mutation	G-SAM-123 PIK3CA Mutation
G-SAM-123	ATM	Mutation	G-SAM-123 ATM Mutation
G-SAM-124	PDGFRA	Mutation	G-SAM-124 PDGFRA Mutation
G-SAM-124	TP53	Lost / decreased / male	G-SAM-124 TP53 Lost / decreased / male
G-SAM-124	EGFR	Mutation	G-SAM-124 EGFR Mutation
G-SAM-124	MTOR	Mutation	G-SAM-124 MTOR Mutation
G-SAM-125	PDGFRA	Mutation	G-SAM-125 PDGFRA Mutation
G-SAM-125	EGFR	Mutation	G-SAM-125 EGFR Mutation
G-SAM-125	ARID2	Mutation	G-SAM-125 ARID2 Mutation
G-SAM-126	PIK3R1	Mutation	G-SAM-126 PIK3R1 Mutation
G-SAM-126	EGFR	Mutation	G-SAM-126 EGFR Mutation
G-SAM-126	NF1	Gained / increased / female	G-SAM-126 NF1 Gained / increased / female
G-SAM-126	BRCA1	Gained / increased / female	G-SAM-126 BRCA1 Gained / increased / female
G-SAM-127	TERT	Mutation	G-SAM-127 TERT Mutation
G-SAM-127	PDGFRA	Mutation	G-SAM-127 PDGFRA Mutation
G-SAM-127	PIK3R1	Mutation	G-SAM-127 PIK3R1 Mutation
G-SAM-127	JAK2	Mutation	G-SAM-127 JAK2 Mutation
G-SAM-128	PDGFRA	Gained / increased / female	G-SAM-128 PDGFRA Gained / increased / female
G-SAM-128	EGFR	Mutation	G-SAM-128 EGFR Mutation
G-SAM-128	NF1	Mutation	G-SAM-128 NF1 Mutation
G-SAM-128	ARID2	Mutation	G-SAM-128 ARID2 Mutation
G-SAM-129	TERT	Mutation	G-SAM-129 TERT Mutation
G-SAM-129	TSC2	Gained / increased / female	G-SAM-129 TSC2 Gained / increased / female
G-SAM-129	PIK3CA	Mutation	G-SAM-129 PIK3CA Mutation
G-SAM-129	PIK3R1	Mutation	G-SAM-129 PIK3R1 Mutation
G-SAM-129	TP53	Lost / decreased / male	G-SAM-129 TP53 Lost / decreased / male
G-SAM-129	MTOR	Lost / decreased / male	G-SAM-129 MTOR Lost / decreased / male
G-SAM-129	MGMT meth	Mutation	G-SAM-129 MGMT meth Mutation
G-SAM-130	TERT	Mutation	G-SAM-130 TERT Mutation
G-SAM-130	PDGFRA	Mutation	G-SAM-130 PDGFRA Mutation
G-SAM-130	PIK3R1	Mutation	G-SAM-130 PIK3R1 Mutation
G-SAM-130	TP53	Mutation	G-SAM-130 TP53 Mutation
G-SAM-130	EGFR	Mutation	G-SAM-130 EGFR Mutation
G-SAM-130	BRCA2	Mutation	G-SAM-130 BRCA2 Mutation
G-SAM-130	MGMT meth	Mutation	G-SAM-130 MGMT meth Mutation
G-SAM-130	MGMT meth	Gained / increased / female	G-SAM-130 MGMT meth Gained / increased / female secondary
G-SAM-131	KMT2C	Lost / decreased / male	G-SAM-131 KMT2C Lost / decreased / male
G-SAM-131	BRCA2	Mutation	G-SAM-131 BRCA2 Mutation
G-SAM-131	RB1	Gained / increased / female	G-SAM-131 RB1 Gained / increased / female
G-SAM-131	RB1	Mutation	G-SAM-131 RB1 Mutation secondary
G-SAM-132	NF1	Mutation	G-SAM-132 NF1 Mutation
G-SAM-132	PTEN	Lost / decreased / male	G-SAM-132 PTEN Lost / decreased / male
G-SAM-132	MTOR	Gained / increased / female	G-SAM-132 MTOR Gained / increased / female
G-SAM-132	BRCA2	Mutation	G-SAM-132 BRCA2 Mutation
G-SAM-132	BRCA2	Gained / increased / female	G-SAM-132 BRCA2 Gained / increased / female secondary
G-SAM-133	TERT	Mutation	G-SAM-133 TERT Mutation
G-SAM-133	TERT	Gained / increased / female	G-SAM-133 TERT Gained / increased / female secondary
G-SAM-133	PIK3CA	Gained / increased / female	G-SAM-133 PIK3CA Gained / increased / female
G-SAM-133	TP53	Mutation	G-SAM-133 TP53 Mutation
G-SAM-133	ARID2	Gained / increased / female	G-SAM-133 ARID2 Gained / increased / female
G-SAM-133	BRCA1	Mutation	G-SAM-133 BRCA1 Mutation
G-SAM-134	TERT	Lost / decreased / male	G-SAM-134 TERT Lost / decreased / male
G-SAM-134	PDGFRA	Mutation	G-SAM-134 PDGFRA Mutation
G-SAM-134	TP53	Mutation	G-SAM-134 TP53 Mutation
G-SAM-134	PTEN	Mutation	G-SAM-134 PTEN Mutation
G-SAM-134	RB1	Mutation	G-SAM-134 RB1 Mutation
G-SAM-135	TERT	Mutation	G-SAM-135 TERT Mutation
G-SAM-135	PDGFRA	Mutation	G-SAM-135 PDGFRA Mutation
G-SAM-135	TP53BP1	Mutation	G-SAM-135 TP53BP1 Mutation
G-SAM-135	AXIN2	Mutation	G-SAM-135 AXIN2 Mutation
G-SAM-135	MGMT meth	Gained / increased / female	G-SAM-135 MGMT meth Gained / increased / female
G-SAM-136	TERT	Lost / decreased / male	G-SAM-136 TERT Lost / decreased / male
G-SAM-136	MSH2	Mutation	G-SAM-136 MSH2 Mutation
G-SAM-136	RB1	Mutation	G-SAM-136 RB1 Mutation
G-SAM-137	TP53	Mutation	G-SAM-137 TP53 Mutation
G-SAM-137	HM	Mutation	G-SAM-137 HM Mutation
G-SAM-137	MGMT meth	Mutation	G-SAM-137 MGMT meth Mutation
G-SAM-138	TP53	Mutation	G-SAM-138 TP53 Mutation
G-SAM-139	TERT	Gained / increased / female	G-SAM-139 TERT Gained / increased / female
G-SAM-139	PDGFRA	Lost / decreased / male	G-SAM-139 PDGFRA Lost / decreased / male
G-SAM-139	PTEN	Mutation	G-SAM-139 PTEN Mutation
G-SAM-139	MSH2	Mutation	G-SAM-139 MSH2 Mutation
G-SAM-140	TERT	Mutation	G-SAM-140 TERT Mutation
G-SAM-140	TSC2	Mutation	G-SAM-140 TSC2 Mutation
G-SAM-140	EGFR	Mutation	G-SAM-140 EGFR Mutation
G-SAM-141	TERT	Mutation	G-SAM-141 TERT Mutation
G-SAM-141	TP53	Gained / increased / female	G-SAM-141 TP53 Gained / increased / female
G-SAM-141	BRCA2	Mutation	G-SAM-141 BRCA2 Mutation
G-SAM-141	MGMT meth	Mutation	G-SAM-141 MGMT meth Mutation
G-SAM-143	TERT	Mutation	G-SAM-143 TERT Mutation
G-SAM-143	PIK3R1	Mutation	G-SAM-143 PIK3R1 Mutation
G-SAM-143	PIK3R1	Gained / increased / female	G-SAM-143 PIK3R1 Gained / increased / female secondary
G-SAM-143	EGFR	Mutation	G-SAM-143 EGFR Mutation
G-SAM-144	PDGFRA	Mutation	G-SAM-144 PDGFRA Mutation
G-SAM-144	TP53	Mutation	G-SAM-144 TP53 Mutation
G-SAM-144	SETD2	Mutation	G-SAM-144 SETD2 Mutation
G-SAM-144	SETD2	Gained / increased / female	G-SAM-144 SETD2 Gained / increased / female secondary
G-SAM-145	TERT	Mutation	G-SAM-145 TERT Mutation
G-SAM-145	TP53	Gained / increased / female	G-SAM-145 TP53 Gained / increased / female
G-SAM-146	TERT	Mutation	G-SAM-146 TERT Mutation
G-SAM-147	TERT	Mutation	G-SAM-147 TERT Mutation
G-SAM-147	PDGFRA	Mutation	G-SAM-147 PDGFRA Mutation
G-SAM-147	PIK3CA	Lost / decreased / male	G-SAM-147 PIK3CA Lost / decreased / male
G-SAM-147	TP53	Mutation	G-SAM-147 TP53 Mutation
G-SAM-147	EGFR	Lost / decreased / male	G-SAM-147 EGFR Lost / decreased / male
G-SAM-147	PTEN	Lost / decreased / male	G-SAM-147 PTEN Lost / decreased / male
